Geneid gene_name HFD_1 HFD_2 HFD_3 LFD_1 LFD_2 LFD_3
ENSMUSG00000102693.2 4933401J01Rik 0 0 0 0 0 0
ENSMUSG00000064842.3 Gm26206 0 0 0 0 0 0
ENSMUSG00000051951.6 Xkr4 27 13 9 12 17 11
ENSMUSG00000102851.2 Gm18956 0 0 0 0 0 0
ENSMUSG00000103377.2 Gm37180 1 1 2 1 2 6
ENSMUSG00000104017.2 Gm37363 1 0 1 2 1 1
ENSMUSG00000103025.2 Gm37686 0 0 0 0 0 0
ENSMUSG00000089699.2 Gm1992 0 1 0 0 0 1
ENSMUSG00000103201.2 Gm37329 2 4 0 0 2 6
ENSMUSG00000103147.2 Gm7341 7 6 2 1 4 4
ENSMUSG00000103161.2 Gm38148 1 2 2 3 2.4 0
ENSMUSG00000102331.2 Gm19938 2 1 1 4 2 1
ENSMUSG00000102348.2 Gm10568 0 0 0 0 0 0
ENSMUSG00000102592.2 Gm38385 0 0 0 0 0 0
ENSMUSG00000088333.4 Gm27396 0 0 0 0 0 0
ENSMUSG00000102343.2 Gm37381 0 0 0 0 0 0.2
ENSMUSG00000025900.14 Rp1 2 1 4 0 59 6
ENSMUSG00000102948.2 Gm6101 0 0 0 0 0 1
ENSMUSG00000104123.2 Gm37483 0 0 0 0 1 0
ENSMUSG00000025902.14 Sox17 86.5 323.5 131 346.5 140.5 159.5
ENSMUSG00000104238.2 Gm37587 3.5 11.5 7 5.5 6.5 5.5
ENSMUSG00000102269.2 Gm7357 5.5 4 1 3 3.5 6
ENSMUSG00000118917.1 Gm22307 0 0 0 0 0 0
ENSMUSG00000103003.2 Gm38076 0 0 0 0 0 0
ENSMUSG00000104328.2 Gm37323 0 0 0 0 1 1
ENSMUSG00000102735.2 Gm7369 0 0 0 1 0 0
ENSMUSG00000098104.2 Gm6085 42 47.5 48.5 64 49.5 41
ENSMUSG00000102175.2 Gm6119 5.33 9.17 8.17 6.67 6.33 5.33
ENSMUSG00002075947.1 Gm56275 0 0 0 1 0 0
ENSMUSG00000103265.2 Gm2053 0 2 0 0 2 1
ENSMUSG00000103922.2 Gm6123 836.5 557 1225 208.5 322 103
ENSMUSG00000033845.14 Mrpl15 903 969.95 828.2 772 608.7 523
ENSMUSG00000102275.2 Gm37144 4 12.25 4 10 15 5.5
ENSMUSG00000120403.1 ENSMUSG00000120403 6 3 4 4 6 2
ENSMUSG00000025903.15 Lypla1 1672.25 1720.83 1708.25 1333.2 1270.4 864.7
ENSMUSG00000104217.2 Gm37988 408.5 344.33 456.75 304.75 323.25 255.75
ENSMUSG00000033813.16 Tcea1 925.78 1006.67 875.9 1156.32 897.08 840.58
ENSMUSG00000062588.5 Gm6104 34.5 43.5 44.5 32 25.5 31.5
ENSMUSG00000103280.2 Gm37277 2 7 1 5 4 6
ENSMUSG00000002459.18 Rgs20 3 1 3 1 6.2 5
ENSMUSG00000091305.2 Gm17100 0 0 0 0 1 1
ENSMUSG00000102653.2 Gm37079 1 0 0 2 2 0
ENSMUSG00000085623.2 Gm16041 0 2 0 0 5 4
ENSMUSG00000091665.2 Gm17101 0 0 0 0 0 0
ENSMUSG00000033793.13 Atp6v1h 1651 1815 1990 2043.33 1420 1084
ENSMUSG00000104352.2 Gm7182 0 0 0 0 0 0
ENSMUSG00000104046.2 Gm37567 1.2 2.73 0.85 1 1.4 2.2
ENSMUSG00000102907.2 Gm38264 0 0 0 0 0 0
ENSMUSG00000025905.15 Oprk1 0 0 0 0 0 0
ENSMUSG00000103936.2 Gm36965 0 0 0 0 0 0
ENSMUSG00002076544.1 Gm56304 0 0.4 0 0.6 0.6 0.2
ENSMUSG00000103519.2 Gm37429 0 0 0 0 0 0
ENSMUSG00000033774.5 Npbwr1 0 0 0 0 0 0
ENSMUSG00000103090.2 Gm19214 0 0 0 0 0 0
ENSMUSG00000090031.4 4732440D04Rik 168 337.4 75 206.67 171.4 135.5
ENSMUSG00000025907.15 Rb1cc1 1766.5 2131 1431 1901 2471 1623
ENSMUSG00000087247.4 Alkal1 0 1 0 0 0 0
ENSMUSG00000103355.2 Gm2147 24.5 27 25 18 29.5 14.5
ENSMUSG00000102706.2 Gm7417 0 0 0 0 0 0
ENSMUSG00000103845.2 Gm19026 25 21.5 23.5 38 30 28.5
ENSMUSG00000033740.18 St18 20 40 2 26 8 15
ENSMUSG00000103329.3 Gm42492 0 1 0 0 0 0
ENSMUSG00000104385.2 Gm7449 0 0 0 0 0 0
ENSMUSG00000102135.2 Gm37108 37.78 34.6 28.92 52.53 35.18 46.08
ENSMUSG00000103282.2 Gm37275 0 0 0 0 0 0
ENSMUSG00000102534.2 Gm37225 0 0 0 0 0 0
ENSMUSG00000102213.2 Gm37489 0 0 0 0 0 0
ENSMUSG00000103629.2 Gm5694 0 0 0 0 0 0
