Geneid	gene_name	Foam_1	Foam_2	Foam_3	NonFoam_1	NonFoam_2	NonFoam_3
ENSMUSG00000102693.2	4933401J01Rik	0	0	0	3	1	0
ENSMUSG00000064842.3	Gm26206	0	0	0	0	0	0
ENSMUSG00000051951.6	Xkr4	0	0	0	4	0	0
ENSMUSG00000102851.2	Gm18956	0	0	0	0	1	0
ENSMUSG00000103377.2	Gm37180	0	0	0	2	1	0
ENSMUSG00000104017.2	Gm37363	0	0	0	1	0	0
ENSMUSG00000103025.2	Gm37686	0	0	0	1	0	0
ENSMUSG00000089699.2	Gm1992	0	0	0	0	0	0
ENSMUSG00000103201.2	Gm37329	0	2	0	1	0	0
ENSMUSG00000103147.2	Gm7341	0	0	0	4	0	0
ENSMUSG00000103161.2	Gm38148	0	0	0	0.20	0.20	0
ENSMUSG00000102331.2	Gm19938	2.20	0	1	1.20	2	0
ENSMUSG00000102348.2	Gm10568	0	0	0	2	1	0
ENSMUSG00000102592.2	Gm38385	0	0	0	2	0	1
ENSMUSG00000088333.4	Gm27396	0	0	0	0	0	0
ENSMUSG00000102343.2	Gm37381	0	0	0	1	1.20	1
ENSMUSG00000025900.14	Rp1	0	4	0	5	1	36
ENSMUSG00000102948.2	Gm6101	1	0	0	2	2	0
ENSMUSG00000104123.2	Gm37483	0	0	0	1	1	0
ENSMUSG00000025902.14	Sox17	0	1	1	6	2.50	1
ENSMUSG00000104238.2	Gm37587	1	0	0	8	0.50	1
ENSMUSG00000102269.2	Gm7357	2	3	1	4.50	1	1
ENSMUSG00000118917.1	Gm22307	0	0	0	0.20	0	0
ENSMUSG00000103003.2	Gm38076	0	0	0	0	0	0
ENSMUSG00000104328.2	Gm37323	0	0	0	1	3	1
ENSMUSG00000102735.2	Gm7369	8.00	5.40	8.40	6.20	10.40	12.85
ENSMUSG00000098104.2	Gm6085	30.50	11	4.50	9.50	11	35.50
ENSMUSG00000102175.2	Gm6119	1.50	0.33	2.00	5.17	5.00	3.67
ENSMUSG00002075947.1	Gm56275	0	0	0	0	0	0
ENSMUSG00000103265.2	Gm2053	0	1	0	0	0	0
ENSMUSG00000103922.2	Gm6123	777.50	477.50	530	698	518.50	654.50
ENSMUSG00000033845.14	Mrpl15	2151.90	1244.42	1290.75	1321	1684.03	2401.43
ENSMUSG00000102275.2	Gm37144	1.50	7.12	2.25	1.20	2.70	3.07
ENSMUSG00000120403.1	ENSMUSG00000120403	0	7	0	2	1	0
ENSMUSG00000025903.15	Lypla1	2980.85	1798.00	2651.07	2228.80	3418.10	3559.65
ENSMUSG00000104217.2	Gm37988	611.75	270.50	451	394.92	651	712.75
ENSMUSG00000033813.16	Tcea1	1800.15	1150.63	1310.66	1326.68	2197.33	2351.98
ENSMUSG00000062588.5	Gm6104	22.17	25.33	22.33	42.00	35.75	94.42
ENSMUSG00000103280.2	Gm37277	0	1	0	2	0	0
ENSMUSG00000002459.18	Rgs20	3	1	0	4.50	1	0.20
ENSMUSG00000091305.2	Gm17100	1	0	0	0	0	0
ENSMUSG00000102653.2	Gm37079	0	0	0	1	0.20	0
ENSMUSG00000085623.2	Gm16041	0	0	0	2.20	1	0
ENSMUSG00000091665.2	Gm17101	0	0	0	1	0	0
ENSMUSG00000033793.13	Atp6v1h	6908.50	4841.20	6619.20	3808.95	3477.00	3921.50
ENSMUSG00000104352.2	Gm7182	0	0	0	1	0	0
ENSMUSG00000104046.2	Gm37567	1.80	3.00	2.20	4.50	1.80	3.00
ENSMUSG00000102907.2	Gm38264	0	0	0	1	0	0
ENSMUSG00000025905.15	Oprk1	1	2	0	6	4	4
ENSMUSG00000103936.2	Gm36965	0	0	0	0	2	0
ENSMUSG00002076544.1	Gm56304	0	0	0.20	0.40	0.40	0
ENSMUSG00000103519.2	Gm37429	0	0	0	2	0	0
ENSMUSG00000033774.5	Npbwr1	0	0	1	2	4	1
ENSMUSG00000103090.2	Gm19214	0	0	0	4	0	0
ENSMUSG00000090031.4	4732440D04Rik	1	1	0	50.70	38.20	94.70
ENSMUSG00000025907.15	Rb1cc1	387.50	376	345	553	556.50	524.50
ENSMUSG00000087247.4	Alkal1	0	1	0	2	0	1
ENSMUSG00000103355.2	Gm2147	95.50	119	89	32	48.50	77
ENSMUSG00000102706.2	Gm7417	0	0	0	2	0	0
ENSMUSG00000103845.2	Gm19026	2	4.50	7	8	6	3.50
ENSMUSG00000033740.18	St18	68	75	97	4	23	242
ENSMUSG00000103329.3	Gm42492	0	0	0	0	0	0
ENSMUSG00000104385.2	Gm7449	3.45	3.00	2.00	2.40	4.40	4.13
ENSMUSG00000102135.2	Gm37108	173.70	157.00	120.50	93.60	121.25	279.26
ENSMUSG00000103282.2	Gm37275	0	0	0	0	0	0
ENSMUSG00000102534.2	Gm37225	0	0	0	0	0	0
ENSMUSG00000102213.2	Gm37489	0	0	0	0	0	0
ENSMUSG00000103629.2	Gm5694	0	0	0	0	0	0
ENSMUSG00000120372.1	ENSMUSG00000120372	0	6	3	1	0	12
ENSMUSG00000051285.18	Pcmtd1	813.50	770.50	1132.83	1033.67	999.67	846.33
ENSMUSG00000098201.2	Gm26983	57.08	56.35	29.05	17.95	48.05	96.00
ENSMUSG00000103509.2	Gm38372	0	1.20	0	2	2.20	0.20
ENSMUSG00000048538.8	Gm9826	60.50	34.75	33.25	71.17	24.92	33.33
ENSMUSG00000103709.2	Nras-ps2	0	0	0	0	0	0
ENSMUSG00000077244.3	Gm23274	0	0	0	3	0	0
ENSMUSG00000102768.2	Gm19002	0	0	0	0	0	0
ENSMUSG00000097797.7	Gm26901	7	8	2	3.80	6	53.50
ENSMUSG00000103498.2	Gm18984	0	0	0	1	0	0
ENSMUSG00000103067.2	Gm30414	0	1	0	2	0	0.90
ENSMUSG00000102320.2	Gm37791	0	0	0.50	0	0	0.50
ENSMUSG00000104226.2	Gm7470	1	0	1	2	4.50	0
ENSMUSG00000103903.2	Rps2-ps2	5.00	4.40	2.60	3.80	2.40	5.40
ENSMUSG00000103557.2	Gm38216	0	0	1	1	0	0
ENSMUSG00000025909.17	Sntg1	0	0	1	8	1	1
ENSMUSG00000102647.2	Gm38024	0	1	0	1	0.20	0.20
ENSMUSG00000086235.2	Gm16284	3	4	1.50	0.50	6	4
ENSMUSG00000102253.2	Gm38259	0	1	0	0	0	1
ENSMUSG00002074990.1	Gm54704	0	0	0	0	0	0
ENSMUSG00000103884.2	Gm37005	0	3	0	1	0	0
ENSMUSG00000084353.2	Gm15452	45.75	53.83	30.58	57.17	101.08	222.25
ENSMUSG00000103933.2	Gm36964	470.81	467.49	443.51	303.83	403.26	648.59
ENSMUSG00002075967.1	Gm54706	65.02	68.97	66.87	61.73	62.08	107.45
ENSMUSG00000086195.2	Gm6152	27.20	23.55	21.95	17.05	16.60	19.80
ENSMUSG00000104504.2	Gm7445	8.20	4.80	4.20	4.30	2.60	4.00
ENSMUSG00000066693.3	Gm7493	207.61	170.66	139.40	120.90	142.13	228.56
ENSMUSG00000102316.2	Gm37629	0	0	0	0	0	0
ENSMUSG00000103819.2	Gm38008	0	0	0	1	0	0
ENSMUSG00000102871.2	Gm37143	0	1	0	2	0	1
ENSMUSG00000101571.3	Gm6187	4.20	3.70	3.18	3.20	5.90	6.30
ENSMUSG00000104428.2	Gm18299	0	0	0	0	0	0
ENSMUSG00000102272.2	Gm7512	4	2	3	2.50	0	5
ENSMUSG00000065625.3	Gm24765	0	0	0	0	0	0
ENSMUSG00000103411.2	Gm18300	0	1	0	2	0	0
ENSMUSG00000061024.9	Rrs1	86.42	27.58	47.75	74.08	28	12.33
ENSMUSG00000025911.15	Adhfe1	6	5	2	14.50	16	45
ENSMUSG00000079671.10	2610203C22Rik	120.50	71	100	82.50	318	598
ENSMUSG00000081441.4	Gm6161	67.00	49.40	54.00	59.25	46.20	60.40
ENSMUSG00000067879.4	Vxn	1.50	0	2	5	8	29
ENSMUSG00000099827.2	Gm29520	0	0	0	0	0	0
ENSMUSG00000025912.17	Mybl1	29	5	31	75	44	78
ENSMUSG00000045210.9	Vcpip1	547.50	495	489	511	602	1104
ENSMUSG00000097893.10	1700034P13Rik	11.80	3.40	0.70	15.20	16.60	5.20
ENSMUSG00000025915.15	Sgk3	927.20	687.50	871.40	1245.53	1566.83	904.50
ENSMUSG00000046334.5	Gm6195	67	76.33	43.50	89.33	71.33	205.00
ENSMUSG00002075801.1	Gm54812	0	0	0	1	0	0
ENSMUSG00000098234.9	Snhg6	286	224.50	150.50	489	219.50	753.50
ENSMUSG00000046101.17	Mcmdc2	11.50	10.50	4.50	9.40	5	19
ENSMUSG00000093178.3	Snord87	1.50	3	0	6	4.50	15.50
ENSMUSG00000099032.3	Tcf24	0	0	0	11	0	0
ENSMUSG00000104025.2	E330040D14Rik	0	0	0	2	0	0
ENSMUSG00000025916.11	Ppp1r42	0	1	0	0	0	0
ENSMUSG00000087199.2	Gm15818	0	0	0	1	0	0
ENSMUSG00000121270.1	ENSMUSG00000121270	0	0	0	1	0.20	0
ENSMUSG00000119658.1	Gm24674	0	0	0	0	0	0
ENSMUSG00000025917.10	Cops5	2123	1493	1686.50	1324	1582	2455.50
ENSMUSG00000056763.17	Cspp1	354	211	211	355	102.50	299.50
ENSMUSG00000102356.2	1700047N06Rik	0	0	0	0	0	0
ENSMUSG00000067851.12	Arfgef1	459.50	565.50	496.70	340.20	495.70	741.30
ENSMUSG00002076532.1	Gm54899	0	0	0	0	0	0
ENSMUSG00000102556.2	Gm37569	0	0	0	1	0	0
ENSMUSG00000042501.13	Cpa6	0.20	1	0	6.60	0.20	2.20
ENSMUSG00000103810.2	Gm38005	1	0	0	0	0.20	1
ENSMUSG00000083422.2	Gm15604	2.23	0.45	2.35	6.43	6.50	4.20
ENSMUSG00000119312.1	Gm25253	0	0	0	0	0	0
ENSMUSG00000081417.2	Gm15603	0	0	0	1	0	0
ENSMUSG00000103448.2	Gm37133	0	0	0	1	0	1
ENSMUSG00000100212.2	Gm5522	0	0	0	1.50	0.50	0
ENSMUSG00000100648.2	Gm28659	7.40	3.40	5.65	5.40	4.80	10.13
ENSMUSG00002076499.1	Gm54912	0	0	0	0	0	0
ENSMUSG00000048960.14	Prex2	81.77	73.23	57.88	75.63	71.12	123.82
ENSMUSG00000077318.3	Gm24173	0	0	0	0	0	0
ENSMUSG00000101827.2	Gm28686	0	0	0	2.20	0	0
ENSMUSG00000103494.2	Gm37410	1	0	0	1	1	0
ENSMUSG00000057715.14	A830018L16Rik	0	2.20	0	8.20	5.20	2.40
