Geneid	gene_name	WT_1	WT_2	WT_3	WT_4	DBDB_1	DBDB_2	DBDB_3	DBDB_4
ENSMUSG00000102693.2	4933401J01Rik	0	0	0	0	0	0	0	0
ENSMUSG00000064842.3	Gm26206	0	0	0	0	0	0	0	0
ENSMUSG00000051951.6	Xkr4	0	0	0	0	2	1	0	1
ENSMUSG00000102851.2	Gm18956	0	0	0	0	0	0	0	0
ENSMUSG00000103377.2	Gm37180	0	3	0	0	0	1	0	1
ENSMUSG00000104017.2	Gm37363	0	0	0	0	0	0	0	0
ENSMUSG00000103025.2	Gm37686	0	0	0	0	0	0	0	0
ENSMUSG00000089699.2	Gm1992	0	0	0	0	1	0	0	0
ENSMUSG00000103201.2	Gm37329	0	0	0	0	1	0	0	0
ENSMUSG00000103147.2	Gm7341	0	0	0	0	0	0	0	0
ENSMUSG00000103161.2	Gm38148	0	0	0	0	0	0	0	0
ENSMUSG00000102331.2	Gm19938	0	2	0	0	1	1	0	0
ENSMUSG00000102348.2	Gm10568	0	0	0	0	0	0	0	0
ENSMUSG00000102592.2	Gm38385	0	0	0	0	0	0	0	0
ENSMUSG00000088333.4	Gm27396	0	0	0	0	0	0	0	0
ENSMUSG00000102343.2	Gm37381	0	0	0	0	0	0	0	0
ENSMUSG00000025900.14	Rp1	0	0	0	0	0	0	0	0
ENSMUSG00000102948.2	Gm6101	0	0	0	0	0	0	0	0
ENSMUSG00000104123.2	Gm37483	0	0	0	0	0	0	0	0
ENSMUSG00000025902.14	Sox17	11.00	13	15	15	8	7.00	2	17.00
ENSMUSG00000104238.2	Gm37587	0	0	0	0	0	0	0	1
ENSMUSG00000102269.2	Gm7357	0	0	0	0	0	0	0	0
ENSMUSG00000118917.1	Gm22307	0	0	1	0	0	1	0	0
ENSMUSG00000103003.2	Gm38076	0	0	0	0	0	0	0	0
ENSMUSG00000104328.2	Gm37323	0	0	0	0	0	0	0	0
ENSMUSG00000102735.2	Gm7369	0	0	0	0	0	0	0	0
ENSMUSG00000098104.2	Gm6085	29	16	14	13	12	20	13	15
ENSMUSG00000102175.2	Gm6119	0	0	0	0	0	0	0	0
ENSMUSG00002075947.1	Gm56275	0	0	0	0	0	0	0	0
ENSMUSG00000103265.2	Gm2053	0	0	0	0	0	0	0	0
ENSMUSG00000103922.2	Gm6123	2	5	3.50	1	0	2	1	0.50
ENSMUSG00000033845.14	Mrpl15	334.00	286.50	260.00	323.00	153.00	206.00	154.00	193.50
ENSMUSG00000102275.2	Gm37144	0	0	0	0	0	0	0	1.50
ENSMUSG00000120403.1	ENSMUSG00000120403	1	2	0	2	0	0	0	0
ENSMUSG00000025903.15	Lypla1	28	40	49	54	41.50	43	28	45.50
ENSMUSG00000104217.2	Gm37988	2	2.50	9	6	0.50	3.50	0.50	3
ENSMUSG00000033813.16	Tcea1	40.83	37.67	89.00	48.50	40	39.50	32	33
ENSMUSG00000062588.5	Gm6104	0	3	7.50	3	15.50	13	3	0.50
ENSMUSG00000103280.2	Gm37277	0	0	0	0	0	0	0	0
ENSMUSG00000002459.18	Rgs20	0	0	0	0	0	0	0	1
ENSMUSG00000091305.2	Gm17100	0	0	0	0	0	0	0	0
ENSMUSG00000102653.2	Gm37079	0	0	0	0	0	0	0	0
ENSMUSG00000085623.2	Gm16041	0	0	0	0	0	0	0	0
ENSMUSG00000091665.2	Gm17101	0	0	0	0	0	0	0	0
ENSMUSG00000033793.13	Atp6v1h	52	61	74	51	67	77	41	60
ENSMUSG00000104352.2	Gm7182	0	0	0	0	0	0	0	0
ENSMUSG00000104046.2	Gm37567	0	0	0	0	0	0	0	0
ENSMUSG00000102907.2	Gm38264	0	0	0	0	0	0	0	0
ENSMUSG00000025905.15	Oprk1	0	0	0	0	0	0	0	0
ENSMUSG00000103936.2	Gm36965	0	0	0	0	0	0	0	0
ENSMUSG00002076544.1	Gm56304	0	0	0	0	0	0	0	0
ENSMUSG00000103519.2	Gm37429	0	0	0	0	0	0	0	0
ENSMUSG00000033774.5	Npbwr1	0	0	0	0	0	0	0	0
ENSMUSG00000103090.2	Gm19214	0	0	0	0	0	0	0	0
ENSMUSG00000090031.4	4732440D04Rik	6	8	10	7	2	1	4	3
ENSMUSG00000025907.15	Rb1cc1	136	144	181	129	134	162	85	139
ENSMUSG00000087247.4	Alkal1	0	0	0	0	0	0	0	0
ENSMUSG00000103355.2	Gm2147	0	0	0	0	0	0	0	0
ENSMUSG00000102706.2	Gm7417	0	0	0	0	0	0	0	0
ENSMUSG00000103845.2	Gm19026	0	0	0	0	0	0	0	0
ENSMUSG00000033740.18	St18	0	0	0	0	0	0	5	2
ENSMUSG00000103329.3	Gm42492	0	0	0	0	0	0	0	0
ENSMUSG00000104385.2	Gm7449	0	0	0	0	0	0	0	0
